CUI,NAME,DEF
C0001399,"Adaptation, Ocular","The adjustment of the eye to variations in the intensity of light. Light adaptation is the adjustment of the eye when the light threshold is increased; DARK ADAPTATION when the light is greatly reduced. (From Cline et al., Dictionary of Visual Science, 4th ed)"
C0001400,"Adaptation, Physiological",The non-genetic biological changes of an organism in response to challenges in its ENVIRONMENT.
C0001403,Addison Disease,"disease characterized by hypotension, weight loss, anorexia, weakness, and sometimes a bronze-like melanotic hyperpigmentation of the skin; due to tuberculosis or autoimmune induced disease (hypofunction) of the adrenal glands that results in deficiency of aldosterone and cortisol."
C0001407,adenine,A purine base and a fundamental unit of ADENINE NUCLEOTIDES.
C0001412,"Mitochondrial ADP, ATP Translocases","A class of nucleotide translocases found abundantly in mitochondria that function as integral components of the inner mitochondrial membrane. They facilitate the exchange of ADP and ATP between the cytosol and the mitochondria, thereby linking the subcellular compartments of ATP production to those of ATP utilization."
C0001414,Adenine Phosphoribosyltransferase,An enzyme catalyzing the formation of AMP from adenine and phosphoribosylpyrophosphate. It can act as a salvage enzyme for recycling of adenine into nucleic acids. EC 2.4.2.7.
C0001417,Dependovirus,"A genus of the family PARVOVIRIDAE, subfamily PARVOVIRINAE, which are dependent on a coinfection with helper adenoviruses or herpesviruses for their efficient replication. The type species is Adeno-associated virus 2."
C0001418,Adenocarcinoma,A malignant epithelial tumor with a glandular organization.
C0001420,Papillary adenocarcinoma,"An adenocarcinoma containing finger-like processes of vascular connective tissue covered by neoplastic epithelium, projecting into cysts or the cavity of glands or follicles. It occurs most frequently in the ovary and thyroid gland. (Stedman, 25th ed)"
C0001422,Adenofibroma,"A benign neoplasm composed of glandular and fibrous tissues, with a relatively large proportion of glands. (Stedman, 25th ed)"
C0001425,Adenoidectomy,"Excision of the adenoids. (Dorland, 28th ed)"
C0001427,Adenoiditis,An inflammation of the adenoid tissue. []
C0001428,Adenoidal structure,A collection of lymphoid nodules on the posterior wall and roof of the NASOPHARYNX.
C0001429,Adenolymphoma,"A benign tumor characterized histologically by tall columnar epithelium within a lymphoid tissue stroma. It is usually found in the salivary glands, especially the parotid."
C0001430,Adenoma,A benign epithelial tumor with a glandular organization.
C0001431,"Adenoma, Basophil","A small tumor of the anterior lobe of the pituitary gland whose cells stain with basic dyes. It may give rise to excessive secretion of ACTH, resulting in CUSHING SYNDROME. (Dorland, 27th ed)"
C0001432,"Adenoma, Chromophobe",A benign tumor of the anterior pituitary in which the cells do not stain with acidic or basic dyes.
C0001433,"Adenoma, Acidophil","A benign tumor, usually found in the anterior lobe of the pituitary gland, whose cells stain with acid dyes. Such pituitary tumors may give rise to excessive secretion of growth hormone, resulting in gigantism or acromegaly. A specific type of acidophil adenoma may give rise to nonpuerperal galactorrhea. (Dorland, 27th ed)"
C0001442,Adenosarcoma,"A malignant neoplasm arising simultaneously or consecutively in mesodermal tissue and glandular epithelium of the same part. (Stedman, 25th ed)"
C0001443,adenosine,A nucleoside that is composed of ADENINE and D-RIBOSE. Adenosine or adenosine derivatives play many important biological roles in addition to being components of DNA and RNA. Adenosine itself is a neurotransmitter.
C0001451,Adenosine A1 Receptor,"A subtype of ADENOSINE RECEPTOR that is found expressed in a variety of tissues including the BRAIN and DORSAL HORN NEURONS. The receptor is generally considered to be coupled to the GI, INHIBITORY G-PROTEIN which causes down regulation of CYCLIC AMP."
C0001452,Adenosine A2 Receptors,"A subclass of ADENOSINE RECEPTORS that are generally considered to be coupled to the GS, STIMULATORY G-PROTEIN which causes up regulation of CYCLIC AMP."
C0001455,cyclic AMP,"An adenine nucleotide containing one phosphate group which is esterified to both the 3'- and 5'-positions of the sugar moiety. It is a second messenger and a key intracellular regulator, functioning as a mediator of activity for a number of hormones, including epinephrine, glucagon, and ACTH."
C0001457,ADENOSINE DEAMINASE,An enzyme that catalyzes the hydrolysis of ADENOSINE to INOSINE with the elimination of AMMONIA.
C0001459,Adenosine Diphosphate,Adenosine 5'-(trihydrogen diphosphate). An adenine nucleotide containing two phosphate groups esterified to the sugar moiety at the 5'-position.
C0001460,Adenosine Diphosphate Glucose,"Serves as the glycosyl donor for formation of bacterial glycogen, amylose in green algae, and amylopectin in higher plants."
C0001461,Adenosine Diphosphate Ribose,"An ester formed between the aldehydic carbon of RIBOSE and the terminal phosphate of ADENOSINE DIPHOSPHATE. It is produced by the hydrolysis of nicotinamide-adenine dinucleotide (NAD) by a variety of enzymes, some of which transfer an ADP-ribosyl group to target proteins."
C0001462,Adenosine Diphosphate Sugars,Esters formed between the aldehydic carbon of sugars and the terminal phosphate of adenosine diphosphate.
C0001464,Adenosine Kinase,An enzyme that catalyzes the formation of ADP plus AMP from adenosine plus ATP. It can serve as a salvage mechanism for returning adenosine to nucleic acids. EC 2.7.1.20.
C0001465,adenosine monophosphate,"Adenine nucleotide containing one phosphate group esterified to the sugar moiety in the 2'-, 3'-, or 5'-position."
C0001468,Adenosine Phosphosulfate,"5'-Adenylic acid, monoanhydride with sulfuric acid. The initial compound formed by the action of ATP sulfurylase on sulfate ions after sulfate uptake. Synonyms: adenosine sulfatophosphate; APS."
C0001471,"Receptors, Purinergic P1","A class of cell surface receptors that prefer ADENOSINE to other endogenous PURINES. Purinergic P1 receptors are widespread in the body including the cardiovascular, respiratory, immune, and nervous systems. There are at least two pharmacologically distinguishable types (A1 and A2, or Ri and Ra)."
C0001473,Adenosine Triphosphatases,"in addition to the classic mitochondrial enzyme, many structural (e.g. myosin) and transport (e.g. ion pump) proteins include an ATPase domain."
C0001475,F1-ATPase,"The catalytic sector of proton-translocating ATPase complexes. It contains five subunits named alpha, beta, gamma, delta and eta."
C0001476,Ca(2+)-Transporting ATPase,Cation-transporting proteins that utilize the energy of ATP hydrolysis for the transport of CALCIUM. They differ from CALCIUM CHANNELS which allow calcium to pass through a membrane without the use of energy.
C0001477,Ca(2+) Mg(2+)-ATPase,"An enzyme that catalyzes the hydrolysis of ATP and is activated by millimolar concentrations of either Ca(2+) or Mg(2+). Unlike CA(2+)-TRANSPORTING ATPASE it does not require the second divalent cation for its activity, and is not sensitive to orthovanadate. (Prog Biophys Mol Biol 1988;52(1):1). A subgroup of EC 3.6.1.3."
C0001479,Na(+)-K(+)-Exchanging ATPase,"An enzyme that catalyzes the active transport system of sodium and potassium ions across the cell wall. Sodium and potassium ions are closely coupled with membrane ATPase which undergoes phosphorylation and dephosphorylation, thereby providing energy for transport of these ions against concentration gradients."
C0001480,adenosine triphosphate,An adenine nucleotide containing three phosphate groups esterified to the sugar moiety. In addition to its crucial roles in metabolism adenosine triphosphate is a neurotransmitter.
C0001483,Adenoviruses,"nonenveloped, ds-DNA in single linear molecule, at least 10 polypeptides, assembly of virus particle in nucleus of usually one host, transmission by direct or indirect contact with urine or feces in throat or eye."
C0001486,Adenovirus Infections,Virus diseases caused by the ADENOVIRIDAE.
C0001487,"Adenovirus Infections, Human",Respiratory and conjunctival infections caused by 33 identified serotypes of human adenoviruses.
C0001489,Aviadenovirus,A genus of ADENOVIRIDAE that infects birds. The type species is FOWL ADENOVIRUS A.
C0001490,"Adenoviruses, Human","Species of the genus MASTADENOVIRUS, causing a wide range of diseases in humans. Infections are mostly asymptomatic, but can be associated with diseases of the respiratory, ocular, and gastrointestinal systems. Serotypes (named with Arabic numbers) have been grouped into species designated Human adenovirus A-G."
C0001491,"Adenoviruses, Simian",Species of the genus MASTADENOVIRUS associated with respiratory and enteric infections in primate hosts.
C0001492,Adenylate Cyclase,Enzymes of the lyase class that catalyze the formation of CYCLIC AMP and pyrophosphate from ATP.
C0001497,ADENYLATE KINASE,An enzyme that catalyzes the phosphorylation of AMP to ADP in the presence of ATP or inorganic triphosphate. EC 2.7.4.3.
C0001502,ADENYLOSUCCINATE LYASE,"An enzyme that, in the course of purine ribonucleotide biosynthesis, catalyzes the conversion of 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole to 5'-phosphoribosyl-4-carboxamide-5-aminoimidazole and the conversion of adenylosuccinic acid to AMP. EC 4.3.2.2."
C0001503,Adenylosuccinate Synthase,"A carbon-nitrogen ligase. During purine ribonucleotide biosynthesis, this enzyme catalyzes the synthesis of adenylosuccinate from GTP; IMP; and aspartate with the formation of orthophosphate and GDP. EC 6.3.4.4."
C0001506,Adenylyl Imidodiphosphate,"5'-Adenylic acid, monoanhydride with imidodiphosphoric acid. An analog of ATP, in which the oxygen atom bridging the beta to the gamma phosphate is replaced by a nitrogen atom. It is a potent competitive inhibitor of soluble and membrane-bound mitochondrial ATPase and also inhibits ATP-dependent reactions of oxidative phosphorylation."
C0001511,Tissue Adhesions,A fibrous band of tissue that connects normally separate body regions.
C0001515,Adhesiveness,A property of the surface of an object that makes it stick to another surface.
C0001516,Adhesives,"Substances that cause the adherence of two surfaces. They include glues (properly collagen-derived adhesives), mucilages, sticky pastes, gums, resins, or latex."
C0001519,Adie Syndrome,"A syndrome characterized by a TONIC PUPIL that occurs in combination with decreased lower extremity reflexes. The affected pupil will respond more briskly to accommodation than to light (light-near dissociation) and is supersensitive to dilute pilocarpine eye drops, which induce pupillary constriction. Pathologic features include degeneration of the ciliary ganglion and postganglionic parasympathetic fibers that innervate the pupillary constrictor muscle. (From Adams et al., Principles of Neurology, 6th ed, p279)"
C0001527,Adipose tissue,"Specialized connective tissue composed of fat cells (ADIPOCYTES). It is the site of stored FATS, usually in the form of TRIGLYCERIDES. In mammals, there are two types of adipose tissue, the WHITE FAT and the BROWN FAT. Their relative distributions vary in different species with most adipose tissue being white."
C0001529,Adiposis Dolorosa,A rare disease characterized by multiple tumor-like fatty deposits that press on nerves in various sites causing pain and weakness. Often these lipoma-like structures are located on the trunk and limbs but not on the face and hands.
C0001546,Adjustment Disorders,"Maladaptive reactions to identifiable psychosocial stressors occurring within a short time after onset of the stressor. They are manifested by either impairment in social or occupational functioning or by symptoms (depression, anxiety, etc.) that are in excess of a normal and expected reaction to the stressor."
C0001548,Adjustment Reaction with Brief Depressive Reaction,Temporary maladaptive depressive signs and symptoms associated with a life event.
C0001551,Immunologic Adjuvants,"Substances that augment, stimulate, activate, potentiate, or modulate the immune response at either the cellular or humoral level. The classical agents (Freund's adjuvant, BCG, Corynebacterium parvum, et al.) contain bacterial antigens. Some are endogenous (e.g., histamine, interferon, transfer factor, tuftsin, interleukin-1). Their mode of action is either non-specific, resulting in increased immune responsiveness to a wide variety of antigens, or antigen-specific, i.e., affecting a restricted type of immune response to a narrow group of antigens. The therapeutic efficacy of many biological response modifiers is related to their antigen-specific immunoadjuvanticity."
C0001552,Pharmaceutical Adjuvants,"Agents that aid or increase the action of the principle drug (DRUG SYNERGISM) or that affect the absorption, mechanism of action, metabolism, or excretion of the primary drug (PHARMACOKINETICS) in such a way as to enhance its effects."
C0001554,Administration occupational activities,Performing or possessing executive duties; acting as a supervisor or manager.
C0001555,administration & dosage,"Used with drugs for dosage forms, routes of administration, frequency and duration of administration, quantity of medication, and the effects of these factors."
C0001557,"Administration, Buccal","Administration of a soluble dosage form between the cheek and gingiva. It may involve direct application of a drug onto the buccal mucosa, as by painting or spraying."
C0001558,"Administration, Cutaneous",The application of suitable drug dosage forms to the skin for either local or systemic effects.
C0001559,Inhalation Drug Administration,The administration of drugs by the respiratory route. It includes insufflation into the respiratory tract.
C0001560,"Administration, Intranasal",Delivery of medications through the nasal mucosa.
C0001561,"Administration, Intravaginal","The insertion of drugs into the vagina to treat local infections, neoplasms, or to induce labor. The dosage forms may include medicated pessaries, irrigation fluids, and suppositories."
C0001562,"Administration, Intravesical","The instillation or other administration of drugs into the bladder, usually to treat local disease, including neoplasms."
C0001563,"Administration, Oral","The giving of drugs, chemicals, or other substances by mouth."
C0001565,Sublingual Route of Drug Administration,Administration of a soluble dosage form by placement under the tongue.
C0001566,"Administration, Topical","The application of drug preparations to the surfaces of the body, especially the skin (ADMINISTRATION, CUTANEOUS) or mucous membranes. This method of treatment is used to avoid systemic side effects when high doses are required at a localized area or as an alternative systemic administration route, to avoid hepatic processing for example."
C0001567,Administrative District,A location defined for administrative purposes.
C0001568,Administrative Personnel,Individuals responsible for the development of policy and supervision of the execution of plans and functional operations.
C0001573,"Admitting Department, Hospital","Hospital department responsible for the flow of patients and the processing of admissions, discharges, transfers, and also most procedures to be carried out in the event of a patient's death."
C0001575,Uterine adnexae structure,"Appendages of the UTERUS which include the FALLOPIAN TUBES, the OVARY, and the supporting ligaments of the uterus (BROAD LIGAMENT; ROUND LIGAMENT)."
C0001576,Adnexal Diseases,"Diseases of the uterine appendages (ADNEXA UTERI) including diseases involving the OVARY, the FALLOPIAN TUBES, and ligaments of the uterus (BROAD LIGAMENT; ROUND LIGAMENT)."
C0001577,Adnexitis,Inflammation of the appendages of the uterus.
C0001578,Adolescence,"period of life beginning with the appearance of secondary sex characteristics and terminating with the cessation of somatic growth; typically between 12 and 20 years of age; when school grades are referenced, this age group is typically grade 5 or 6 and above; also index with appropriate human and clinical research terms."
C0001580,Adolescent Behavior,Any observable response or action of an adolescent.
C0001581,Adolescent Medicine,A branch of medicine pertaining to the diagnosis and treatment of diseases occurring during the period of ADOLESCENCE.
C0001583,Adolescent Psychiatry,"The medical science that deals with the origin, diagnosis, prevention, and treatment of mental disorders in individuals 13-18 years."
C0001584,"Psychology, Adolescent",Field of psychology involving the study of normal and abnormal behavior of adolescents. It includes mental processes as well as observable responses.
C0001585,"Adolescent, Hospitalized",Adolescent hospitalized for short term care.
C0001586,"Adolescent, Institutionalized",An adolescent who is receiving long-term in-patient services or who resides in an institutional setting.
C0001593,Adoption,"Voluntary acceptance of a child of other parents to be as one's own child, usually with legal confirmation."
C0001595,Adosterol,A sterol usually substituted with radioactive iodine. It is an adrenal cortex scanning agent with demonstrated high adrenal concentration and superior adrenal imaging.
C0001613,Adrenal Cortex,"The outer layer of the adrenal gland. It is derived from MESODERM and comprised of three zones (outer ZONA GLOMERULOSA, middle ZONA FASCICULATA, and inner ZONA RETICULARIS) with each producing various steroids preferentially, such as ALDOSTERONE; HYDROCORTISONE; DEHYDROEPIANDROSTERONE; and ANDROSTENEDIONE. Adrenal cortex function is regulated by pituitary ADRENOCORTICOTROPIN."
C0001614,Adrenal Cortex Diseases,Pathological processes of the ADRENAL CORTEX.
C0001616,Adrenal Cortex Function Tests,Examinations that evaluate and monitor hormone production in the adrenal cortex.
C0001617,Adrenal Cortex Hormones,"HORMONES produced by the ADRENAL CORTEX, including both steroid and peptide hormones. The major hormones produced are HYDROCORTISONE and ALDOSTERONE."
C0001618,Tumors of Adrenal Cortex,Tumors or cancers of the ADRENAL CORTEX.
C0001621,Adrenal Gland Diseases,Pathological processes of the ADRENAL GLANDS.
C0001622,Adrenal Gland Hyperfunction,abnormally increased secretion of adrenal hormones.
C0001623,Adrenal gland hypofunction,"Insufficient production of steroid hormones (primarily cortisol) by the adrenal glands. [HPO:probinson, PMID:11443143]"
C0001624,Adrenal Gland Neoplasms,Tumors or cancer of the ADRENAL GLANDS.
C0001625,Adrenal Glands,"A pair of glands located at the cranial pole of each of the two KIDNEYS. Each adrenal gland is composed of two distinct endocrine tissues with separate embryonic origins, the ADRENAL CORTEX producing STEROIDS and the ADRENAL MEDULLA producing NEUROTRANSMITTERS."
C0001627,Congenital adrenal hyperplasia,"A group of inherited disorders of the ADRENAL GLANDS, caused by enzyme defects in the synthesis of cortisol (HYDROCORTISONE) and/or ALDOSTERONE leading to accumulation of precursors for ANDROGENS. Depending on the hormone imbalance, congenital adrenal hyperplasia can be classified as salt-wasting, hypertensive, virilizing, or feminizing. Defects in STEROID 21-HYDROXYLASE; STEROID 11-BETA-HYDROXYLASE; STEROID 17-ALPHA-HYDROXYLASE; 3-beta-hydroxysteroid dehydrogenase (3-HYDROXYSTEROID DEHYDROGENASES); TESTOSTERONE 5-ALPHA-REDUCTASE; or steroidogenic acute regulatory protein; among others, underlie these disorders."
C0001629,Adrenal Medulla,"The inner portion of the adrenal gland. Derived from ECTODERM, adrenal medulla consists mainly of CHROMAFFIN CELLS that produces and stores a number of NEUROTRANSMITTERS, mainly adrenaline (EPINEPHRINE) and NOREPINEPHRINE. The activity of the adrenal medulla is regulated by the SYMPATHETIC NERVOUS SYSTEM."
C0001630,Adrenal Rest Tumor,"Neoplasm derived from displaced cells (rest cells) of the primordial ADRENAL GLANDS, generally in patients with CONGENITAL ADRENAL HYPERPLASIA. Adrenal rest tumors have been identified in TESTES; LIVER; and other tissues. They are dependent on ADRENOCORTICOTROPIN for growth and adrenal steroid secretion."
C0001632,Adrenalectomy,"Excision of one or both adrenal glands. (From Dorland, 28th ed)"
C0001636,epinephrine hydrochloride,"The hydrochloride salt of the naturally occurring sympathomimetic amine with vasoconstricting, intraocular pressure-reducing, and bronchodilating activities. By stimulating vascular alpha-adrenergic receptors, epinephrine causes vasoconstriction, thereby increasing vascular resistance and blood pressure. When administered in the conjunctiva, this agent binds to alpha-adrenergic receptors in the iris sphincter muscle, resulting in vasoconstriction, a decrease in the production of aqueous humor, and a lowering of intraocular pressure. Through its beta1 receptor-stimulating actions, epinephrine increases the force and rate of myocardial contraction and relaxes bronchial smooth muscle, resulting in bronchodilation."
C0001637,Adrenergic Agents,"Drugs that act on adrenergic receptors or affect the life cycle of adrenergic transmitters. Included here are adrenergic agonists and antagonists and agents that affect the synthesis, storage, uptake, metabolism, or release of adrenergic transmitters."
C0001638,"Receptors, Adrenergic, alpha-1",A subclass of alpha-adrenergic receptors that mediate contraction of SMOOTH MUSCLE in a variety of tissues such as ARTERIOLES; VEINS; and the UTERUS. They are usually found on postsynaptic membranes and signal through GQ-G11 G-PROTEINS.
C0001639,"Receptors, Adrenergic, alpha-2","A subclass of alpha-adrenergic receptors found on both presynaptic and postsynaptic membranes where they signal through Gi-Go G-PROTEINS. While postsynaptic alpha-2 receptors play a traditional role in mediating the effects of ADRENERGIC AGONISTS, the subset of alpha-2 receptors found on presynaptic membranes signal the feedback inhibition of NEUROTRANSMITTER release."
C0001640,Adrenergic alpha-Agonists,Drugs that selectively bind to and activate alpha adrenergic receptors.
C0001641,Adrenergic alpha-Antagonists,"drugs that bind to but do not activate alpha-adrenergic receptors thereby blocking the actions of endogenous or exogenous adrenergic agonists; adrenergic alpha-antagonists are used in the treatment of hypertension, vasospasm, peripheral vascular disease, shock, and pheochromocytoma."
C0001642,"Receptors, Adrenergic, beta-1","A subclass of beta-adrenergic receptors (RECEPTORS, ADRENERGIC, BETA). The adrenergic beta-1 receptors are equally sensitive to EPINEPHRINE and NOREPINEPHRINE and bind the agonist DOBUTAMINE and the antagonist METOPROLOL with high affinity. They are found in the HEART, juxtaglomerular cells, and in the central and peripheral nervous systems."
C0001643,beta-2 Adrenergic Receptors,"A subclass of beta-adrenergic receptors (RECEPTORS, ADRENERGIC, BETA). The adrenergic beta-2 receptors are more sensitive to EPINEPHRINE than to NOREPINEPHRINE and have a high affinity for the agonist TERBUTALINE. They are widespread, with clinically important roles in SKELETAL MUSCLE; LIVER; and vascular, bronchial, gastrointestinal, and genitourinary SMOOTH MUSCLE."
C0001644,Adrenergic beta-Agonists,Drugs that selectively bind to and activate beta-adrenergic receptors.
C0001645,Adrenergic beta-Antagonists,"Drugs that bind to but do not activate beta-adrenergic receptors thereby blocking the actions of beta-adrenergic agonists. Adrenergic beta-antagonists are used for treatment of hypertension, cardiac arrhythmias, angina pectoris, glaucoma, migraine headaches, and anxiety."
C0001646,Adrenergic Fibers,Nerve fibers liberating catecholamines at a synapse after an impulse.
C0001648,Adrenergic Agonists,Drugs that bind to and activate adrenergic receptors.
C0001652,Adrenochrome,Pigment obtained by the oxidation of epinephrine.
C0001655,corticotropin,pituitary hormone that stimulates the secretion of adrenal cortical steroids and induces growth of the adrenal cortex.
C0001657,Adrenodoxin,"An iron-sulfur protein which serves as an electron carrier in enzymatic steroid hydroxylation reactions in adrenal cortex mitochondria. The electron transport system which catalyzes this reaction consists of adrenodoxin reductase, NADP, adrenodoxin, and cytochrome P-450."
C0001674,Adsorption (natural process),"The adhesion of gases, liquids, or dissolved solids onto a surface. It includes adsorptive phenomena of bacteria and viruses onto surfaces as well. ABSORPTION into the substance may follow but not necessarily."
C0001675,Adult,"A person having attained full growth or maturity. Adults are of 19 through 44 years of age. For a person between 19 and 24 years of age, YOUNG ADULT is available."
C0001683,Advance Directives,"Declarations by patients, made in advance of a situation in which they may be incompetent to decide about their own care, stating their treatment preferences or authorizing a third party to make decisions for them. (Bioethics Thesaurus)"
C0001688,aspects of adverse effects,"Used with drugs, chemicals, or biological agents in accepted dosage - or with physical agents or manufactured products in normal usage - when intended for diagnostic, therapeutic, prophylactic, or anesthetic purposes. It is used also for adverse effects or complications of diagnostic, therapeutic, prophylactic, anesthetic, surgical, or other procedures."
C0001690,Advertising (activity),"Works about the act or practice of calling public attention to a product, service, need, etc., especially by paid announcements in newspapers, magazines, on radio, or on television. (Random House Unabridged Dictionary, 2d ed)"
C0001692,Aedes <genus>,"genus of mosquitoes; are vectors for many diseases including yellow fever, dengue, equine encephalomyelitis, and filariasis."
C0001694,Aequorin,A photoprotein isolated from the bioluminescent jellyfish Aequorea. It emits visible light by an intramolecular reaction when a trace amount of calcium ion is added. The light-emitting moiety in the bioluminescence reaction is believed to be 2-amino-3-benzyl-5-(p-hydroxyphenyl)pyrazine (AF-350).
C0001699,Klebsiella pneumoniae,"gram negative, non motile, capsulated, gas producing rods found widely in nature and associated with urinary and respiratory infections in humans."
C0001701,"Exercise, Aerobic",exercise designed to improve an individual's cardiovascular condition.
C0001702,Aerobiosis,Life or metabolic reactions occurring in an environment containing oxygen.
C0001703,Aerococcus,"A genus of gram-positive cocci in the family AEROCOCCACEAE, occurring as airborne saprophytes."
C0001705,Aeromonas,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria that occurs singly, in pairs, or in short chains. Its organisms are found in fresh water and sewage and are pathogenic to humans, frogs, and fish."
C0001707,Aerophagy,Spasmodic swallowing of air.
C0001711,Aerosol Propellants,"Compressed gases or vapors in a container which, upon release of pressure and expansion through a valve, carry another substance from the container. They are used for cosmetics, household cleaners, and so on. Examples are BUTANES; CARBON DIOXIDE; FLUOROCARBONS; NITROGEN; and PROPANE. (McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)"
C0001712,Aerosols,suspension of fine solid or liquid particles in gas; a substance dispensed from a pressurized container; includes the container and process used to dispense the aerosol.
C0001713,Aerospace Medicine,That branch of medicine dealing with the studies and effects of flight through the atmosphere or in space upon the human body and with the prevention or cure of physiological or psychological malfunctions arising from these effects. (from NASA Thesaurus)
C0001714,polymyxin B sulfate,"The sulfate salt form of polymyxin B, a mixture of the polypeptides polymyxins B1 and B2, both obtained from Bacillus polymyxa strains, with antimicrobial activity. Polymyxin B exerts its antimicrobial effect through its cationic detergent action on cell membranes. Specifically, this antibiotic binds to the negatively charged site in the lipopolysaccharide layer of the bacterial cell membrane via electrostatic affinity with the positively charged amino groups in the cyclic peptide portion. Subsequently, the fatty acid portion of polymyxin B dissolves in the hydrophobic region of the bacterial cell membrane. This results in an alteration in cell membrane structure, disruption of cell wall integrity and an increase in permeability for water and molecules. This will eventually lead to bacterial cell death."
C0001721,Affect (mental function),The feeling-tone accompaniment of an idea or mental representation. It is the most direct psychic derivative of instinct and the psychic representative of the various bodily changes by means of which instincts manifest themselves.
C0001723,HUNKIOR PSIKOSIA,"Disorders in which the essential feature is a severe disturbance in mood (depression, anxiety, elation, and excitement) accompanied by psychotic symptoms such as delusions, hallucinations, gross impairment in reality testing, etc."
C0001726,Affective Symptoms,Mood or emotional responses dissonant with or inappropriate to the behavior and/or stimulus.
C0001727,Afferent Loop Syndrome,"A complication of gastrojejunostomy (BILLROTH II PROCEDURE), a reconstructive GASTROENTEROSTOMY. It is caused by acute (complete) or chronic (intermittent) obstruction of the afferent jejunal loop due to HERNIA, intussusception, kinking, VOLVULUS, etc. It is characterized by PAIN and VOMITING of BILE-stained fluid."
C0001728,Afferent Pathways,Nerve structures through which impulses are conducted from a peripheral part toward a nerve center.
C0001730,Affinity Labels,"Analogs of those substrates or compounds which bind naturally at the active sites of proteins, enzymes, antibodies, steroids, or physiological receptors. These analogs form a stable covalent bond at the binding site, thereby acting as inhibitors of the proteins or steroids."
C0001732,Afghanistan,"Country located north and west of Pakistan, and east of Iran. The capital is Kabul."
C0001733,Afibrinogenemia,A deficiency or absence of FIBRINOGEN in the blood.
C0001734,Aflatoxins,"Furano-furano-benzopyrans that are produced by ASPERGILLUS from STERIGMATOCYSTIN. They are structurally related to COUMARINS and easily oxidized to an epoxide form to become ALKYLATING AGENTS. Members of the group include AFLATOXIN B1; aflatoxin B2, aflatoxin G1, aflatoxin G2; AFLATOXIN M1; and aflatoxin M2."
C0001737,Africa,"second largest continent, after Asia, covering about one-fifth of the total land surface of the Earth; the continent is bounded on the west by the Atlantic Ocean, on the north by the Mediterranean Sea, on the east by the Red Sea and the Indian Ocean, and on the south by the mingling waters of the Atlantic and Indian oceans."
C0001738,Africa South of the Sahara,"All of Africa except Northern Africa (AFRICA, NORTHERN)."
C0001740,"Africa, Central",The geographical area of Africa comprising CAMEROON; CENTRAL AFRICAN REPUBLIC; CHAD; CONGO; EQUATORIAL GUINEA; GABON; and DEMOCRATIC REPUBLIC OF THE CONGO.
C0001741,"Africa, Eastern","The geographical area of Africa comprising BURUNDI, DJIBOUTI, ERITREA, ETHIOPIA, KENYA, RWANDA, SOMALIA, SOUTH SUDAN, SUDAN, TANZANIA, and UGANDA."
C0001745,"Africa, Northern",The geographical area of Africa comprising ALGERIA; EGYPT; LIBYA; MOROCCO and TUNISIA. It includes also the vast deserts and oases of the Sahara. It is often referred to as North Africa or the Maghreb.
C0001746,"Africa, Southern",The geographical area of Africa comprising ANGOLA; BOTSWANA; LESOTHO; MALAWI; MOZAMBIQUE; NAMIBIA; SOUTH AFRICA; SWAZILAND; ZAMBIA; and ZIMBABWE.
C0001747,"Africa, Western","The geographical area of Africa comprising BENIN; BURKINA FASO; CAPO VERDE, COTE D'IVOIRE; GAMBIA; GHANA; GUINEA; GUINEA-BISSAU; LIBERIA; MALI; MAURITANIA; NIGER; NIGERIA; SENEGAL; SIERRA LEONE; and TOGO."
C0001748,African Horse Sickness,"An insect-borne reovirus infection of horses, mules and donkeys in Africa and the Middle East; characterized by pulmonary edema, cardiac involvement, and edema of the head and neck."
C0001749,African horse sickness virus,"A species of ORBIVIRUS that causes disease in horses, mules, and donkeys. Via its principal vector CULICOIDES, it can also infect dogs, elephants, camels, cattle, sheep, goats, and, in special circumstances, humans."
C0001752,African swine fever,"A sometimes fatal ASFIVIRUS infection of pigs, characterized by fever, cough, diarrhea, hemorrhagic lymph nodes, and edema of the gallbladder. It is transmitted between domestic swine by direct contact, ingestion of infected meat, or fomites, or mechanically by biting flies or soft ticks (genus Ornithodoros)."
C0001753,African Swine Fever Virus,"The lone species of the genus Asfivirus. It infects domestic and wild pigs, warthogs, and bushpigs. Disease is endemic in domestic swine in many African countries and Sardinia. Soft ticks of the genus Ornithodoros are also infected and act as vectors."
C0001757,Afrikaans language,"A West Germanic language, evolved from Dutch, spoken in South Africa, Namibia and, to a lesser extent, Botswana and Zimbabwe."
C0001758,Aftercare,"The care and treatment of a convalescent patient, especially that of a patient after surgery."
C0001762,Afterimage,Continuation of visual impression after cessation of stimuli causing the original image.
C0001768,Agammaglobulinemia,An immunologic deficiency state characterized by an extremely low level of generally all classes of gamma-globulin in the blood.
C0001771,agar,"A complex sulfated polymer of galactose units, extracted from Gelidium cartilagineum, Gracilaria confervoides, and related red algae. It is used as a gel in the preparation of solid culture media for microorganisms, as a bulk laxative, in making emulsions, and as a supporting medium for immunodiffusion and immunoelectrophoresis."
C0001774,Agaricales,extensive order of basidiomycetous fungi whose fruiting bodies are commonly call mushrooms.
